Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,design_description,env_broad_scale,env_local_scale,env_medium,Experiment,file_md5,file-type,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,INSTRUMENT_MODEL,Instrument,Investigation_type,Lat_Lon,library_construction_protocol,library_layout,Library Name,Library_name,library_selection,library_source,library_strategy,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sequencing_method,SRA Study
SRR16555277,AMPLICON,1040,38617114,PRJNA774098,SAMN22550521,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",35148377,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757426,6bf1171b8160e41e074963e7eb7210ea,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IS12_D4,IS12_D4,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode40,Oxford Nanopore,SRP342932
SRR16555281,AMPLICON,680,14047838,PRJNA774098,SAMN22550518,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",12810246,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757422,fb0ef8a825ebba5e00ffd8d643c86ae4,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IS9_D1,IS9_D1,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode37,Oxford Nanopore,SRP342932
SRR16555282,AMPLICON,1618,149117217,PRJNA774098,SAMN22550517,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",135454829,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757421,80dc769e6f3715c56ccb5b7d6b8ba1bb,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IS7_C11,IS7_C11,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode35,Oxford Nanopore,SRP342932
SRR16555284,AMPLICON,792,20390358,PRJNA774098,SAMN22550515,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",18539236,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757419,11d6d9896a71289f33eaf29c653ca0da,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IA46_G7,IA46_G7,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode79,Oxford Nanopore,SRP342932
SRR16555286,AMPLICON,732,26424701,PRJNA774098,SAMN22550513,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",23998394,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757417,e5896e9e6eb28393e3a04408f23a4246,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IA44_G5,IA44_G5,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode77,Oxford Nanopore,SRP342932
SRR16555289,AMPLICON,838,21725623,PRJNA774098,SAMN22550510,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",19775510,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757414,b1cb3278227483f3b8a02e873389f890,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IA41_G2,IA41_G2,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode74,Oxford Nanopore,SRP342932
SRR16555290,AMPLICON,731,20008152,PRJNA774098,SAMN22550509,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",18196270,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757413,f2ea4004dc61f085145f982622217846,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IA40_G1,IA40_G1,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode73,Oxford Nanopore,SRP342932
SRR16555293,AMPLICON,805,18742051,PRJNA774098,SAMN22550507,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",17075614,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757410,999f9561465e3d0f2c4a60d26a9b0a44,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IA37_F9,IA37_F9,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode69,Oxford Nanopore,SRP342932
SRR16555295,AMPLICON,1543,79825079,PRJNA774098,SAMN22550505,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",72573434,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757408,e8b3c7064d1ef4056ed112a2b7a83394,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IA30_F1,IA30_F1,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode61,Oxford Nanopore,SRP342932
SRR16555299,AMPLICON,1503,183366972,PRJNA774098,SAMN22550501,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",166623295,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757404,ffd40d79efe4f027ba53fe486aaef603,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IA24_E5,IA24_E5,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode53,Oxford Nanopore,SRP342932
SRR16555301,AMPLICON,936,29828798,PRJNA774098,SAMN22550499,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",27147286,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757402,c54283b941a02efe28db483be37d602a,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IA21_E1,IA21_E1,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode49,Oxford Nanopore,SRP342932
SRR16555302,AMPLICON,1572,38492966,PRJNA774098,SAMN22550481,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",34941961,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757401,77de69c7b57766e612af4e7fb5044e7e,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,C3_A3,C3_A3,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,Barcode03,Oxford Nanopore,SRP342932
SRR16555304,AMPLICON,769,35538634,PRJNA774098,SAMN22550497,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",32336998,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757399,f76a3e902c094013a0fa4ae9f0afdb40,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IA19_D11,IA19_D11,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode47,Oxford Nanopore,SRP342932
SRR16555306,AMPLICON,1690,181222846,PRJNA774098,SAMN22550495,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",164687658,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757397,583daa82e1cd876997a1646d84f273a4,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IA5_C9,IA5_C9,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode33,Oxford Nanopore,SRP342932
SRR16555309,AMPLICON,1634,126834166,PRJNA774098,SAMN22550492,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",115247369,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757394,8ba0b8f2c79e69d4ed3ad258ea15c66c,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IA2_C6,IA2_C6,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode30,Oxford Nanopore,SRP342932
SRR16555311,AMPLICON,1507,46391077,PRJNA774098,SAMN22550490,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",42107148,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757392,36572c2872a82e4d9225b95ee44cdc38,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,C12_A12,C12_A12,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,Barcode12,Oxford Nanopore,SRP342932
SRR16555313,AMPLICON,905,24281042,PRJNA774098,SAMN22550480,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",22059273,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757390,e7505f8de2f2fb42004ed0152b36a998,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,C2_A2,C2_A2,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,Barcode02,Oxford Nanopore,SRP342932
SRR16555314,AMPLICON,1546,43146206,PRJNA774098,SAMN22550479,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",39186863,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757389,0d7ae812c17e7f1a2a56e04348f94a6c,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,C1_A1,C1_A1,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,Barcode01,Oxford Nanopore,SRP342932
SRR16555258,AMPLICON,639,8840087,PRJNA774098,SAMN22550487,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",8047769,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757445,dff063c5239b37610719005f2794dc67,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,C9_A9,C9_A9,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,Barcode09,Oxford Nanopore,SRP342932
SRR16555259,AMPLICON,685,21573323,PRJNA774098,SAMN22550486,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",19552308,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757444,029af397db4005e8f1987084ee379c9e,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,C8_A8,C8_A8,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,Barcode08,Oxford Nanopore,SRP342932
SRR16555261,AMPLICON,1026,46308141,PRJNA774098,SAMN22550536,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",42130976,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757442,c07181206d13d4069ca6fc0d104d1ad0,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IS50_E2,IS50_E2,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode51,Oxford Nanopore,SRP342932
SRR16555264,AMPLICON,855,22638863,PRJNA774098,SAMN22550533,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",20598538,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757439,aa6096f806be92b464a4f10a51aa73fa,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IS38_F11,IS38_F11,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode71,Oxford Nanopore,SRP342932
SRR16555266,AMPLICON,1030,64485568,PRJNA774098,SAMN22550531,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-associated",58595145,INSTITUTE OF LIFE SCIENCES,2020-05-11/2020-10-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",PCR based amplification of Variable regions (V1-V9),NA,NA,NA,SRX12757437,c134b1021cd27f14edb37b1748f730c9,fastq,India,Asia,India,Homo sapiens,MinION,MinION,bacteria_archaea,20.9517 N 85.0985 E,SQK-LSK109 1D protocol,SINGLE,IS34_F5,IS34_F5,Amplicon,Nasopharyngeal Swab,16SrRNA gene,SINGLE,PCR,METAGENOMIC,human nasopharyngeal metagenome,OXFORD_NANOPORE,2021-12-22T00:00:00Z,new_barcode65,Oxford Nanopore,SRP342932
