Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR13760917,AMPLICON,410,17357571,PRJNA703303,SAMN18011843,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8115086,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_15,human feces,SRX10147729,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_60_1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_60_1,SRP307447
SRR13760918,AMPLICON,413,25392913,PRJNA703303,SAMN18011780,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10719516,ZHEJIANG UNIVERSITY,2020-02-15,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Acute_replicate_8,human feces,SRX10147728,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP12_1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP12_1,SRP307447
SRR13760919,AMPLICON,419,16058105,PRJNA703303,SAMN18011842,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7758579,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_14,human feces,SRX10147727,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_59_1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_59_1,SRP307447
SRR13760920,AMPLICON,412,15657944,PRJNA703303,SAMN18011841,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7273546,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_13,human feces,SRX10147726,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_56_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_56_2,SRP307447
SRR13760921,AMPLICON,410,17508882,PRJNA703303,SAMN18011840,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8409896,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_12,human feces,SRX10147725,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_52_4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_52_4,SRP307447
SRR13760922,AMPLICON,417,15558601,PRJNA703303,SAMN18011839,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7646512,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_11,human feces,SRX10147724,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_50_4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_50_4,SRP307447
SRR13760923,AMPLICON,411,18466539,PRJNA703303,SAMN18011838,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9035326,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_10,human feces,SRX10147723,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_46_5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_46_5,SRP307447
SRR13760924,AMPLICON,416,15007881,PRJNA703303,SAMN18011837,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7191878,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_9,human feces,SRX10147722,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_44_4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_44_4,SRP307447
SRR13760925,AMPLICON,417,16844499,PRJNA703303,SAMN18011836,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8117711,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_8,human feces,SRX10147721,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_42_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_42_2,SRP307447
SRR13760926,AMPLICON,413,17080916,PRJNA703303,SAMN18011835,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8012212,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_7,human feces,SRX10147720,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_38_5,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_38_5,SRP307447
SRR13760927,AMPLICON,413,15660303,PRJNA703303,SAMN18011834,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7386460,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_6,human feces,SRX10147719,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_34_4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_34_4,SRP307447
SRR13760928,AMPLICON,405,16604639,PRJNA703303,SAMN18011833,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7844997,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_5,human feces,SRX10147718,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_30_3,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_30_3,SRP307447
SRR13760929,AMPLICON,424,21963813,PRJNA703303,SAMN18011779,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9435913,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Acute_replicate_7,human feces,SRX10147717,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP11_1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP11_1,SRP307447
SRR13760930,AMPLICON,415,18752212,PRJNA703303,SAMN18011832,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8983765,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_4,human feces,SRX10147716,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_3_4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_3_4,SRP307447
SRR13760931,AMPLICON,411,19735757,PRJNA703303,SAMN18011831,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9391605,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_3,human feces,SRX10147715,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_19_6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_19_6,SRP307447
SRR13760932,AMPLICON,413,19269236,PRJNA703303,SAMN18011830,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9175314,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_2,human feces,SRX10147714,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_11_4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_11_4,SRP307447
SRR13760933,AMPLICON,405,15971236,PRJNA703303,SAMN18011829,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",6346905,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Convalescence_replicate_1,human feces,SRX10147713,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_1_2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_1_2,SRP307447
SRR13760934,AMPLICON,407,21775132,PRJNA703303,SAMN18011828,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8874194,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_30,human feces,SRX10147712,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,C44,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,C44,SRP307447
SRR13760935,AMPLICON,406,24853957,PRJNA703303,SAMN18011827,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10242140,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_29,human feces,SRX10147711,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,C43,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,C43,SRP307447
SRR13760936,AMPLICON,407,20686836,PRJNA703303,SAMN18011826,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8966591,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_28,human feces,SRX10147710,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,C41,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,C41,SRP307447
SRR13760937,AMPLICON,405,16361844,PRJNA703303,SAMN18011825,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",6883391,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_27,human feces,SRX10147709,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,C4,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,C4,SRP307447
SRR13760938,AMPLICON,410,20547460,PRJNA703303,SAMN18011824,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9111913,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_26,human feces,SRX10147708,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,C39,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,C39,SRP307447
SRR13760939,AMPLICON,407,20121507,PRJNA703303,SAMN18011823,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8474547,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_25,human feces,SRX10147707,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,C35,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,C35,SRP307447
SRR13760940,AMPLICON,427,18258181,PRJNA703303,SAMN18011778,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",6291318,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Acute_replicate_6,human feces,SRX10147706,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP1_1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP1_1,SRP307447
SRR13760941,AMPLICON,406,23693678,PRJNA703303,SAMN18011822,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9873724,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_24,human feces,SRX10147705,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,C34,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,C34,SRP307447
SRR13760942,AMPLICON,406,23425506,PRJNA703303,SAMN18011821,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9989375,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_23,human feces,SRX10147704,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,C10,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,C10,SRP307447
SRR13760943,AMPLICON,413,21046052,PRJNA703303,SAMN18011820,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9105466,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_22,human feces,SRX10147703,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,C1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,C1,SRP307447
SRR13760944,AMPLICON,407,24271781,PRJNA703303,SAMN18011819,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10165194,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_21,human feces,SRX10147702,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,AC9,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,AC9,SRP307447
SRR13760945,AMPLICON,406,21456023,PRJNA703303,SAMN18011818,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8682484,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_20,human feces,SRX10147701,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,AC52,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,AC52,SRP307447
SRR13760946,AMPLICON,407,19554870,PRJNA703303,SAMN18011817,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8377159,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_19,human feces,SRX10147700,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,AC39,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,AC39,SRP307447
SRR13760947,AMPLICON,407,21182441,PRJNA703303,SAMN18011816,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9021472,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_18,human feces,SRX10147699,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,AC18,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,AC18,SRP307447
SRR13760948,AMPLICON,411,16234510,PRJNA703303,SAMN18011815,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7141193,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_17,human feces,SRX10147698,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,AC14,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,AC14,SRP307447
SRR13760949,AMPLICON,408,18689639,PRJNA703303,SAMN18011814,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7865776,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_16,human feces,SRX10147697,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,AC11,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,AC11,SRP307447
SRR13760950,AMPLICON,408,27260224,PRJNA703303,SAMN18011813,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",11786778,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_15,human feces,SRX10147696,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,A31,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,A31,SRP307447
SRR13760951,AMPLICON,424,17936894,PRJNA703303,SAMN18011777,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8622496,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Acute_replicate_5,human feces,SRX10147695,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,NCP_72_1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,NCP_72_1,SRP307447
SRR13760952,AMPLICON,410,17676746,PRJNA703303,SAMN18011812,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7684058,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_14,human feces,SRX10147694,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,178,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,178,SRP307447
SRR13760953,AMPLICON,407,21579995,PRJNA703303,SAMN18011811,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9112412,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_13,human feces,SRX10147693,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,174,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,174,SRP307447
SRR13760954,AMPLICON,407,21781952,PRJNA703303,SAMN18011810,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9020730,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_12,human feces,SRX10147692,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,148,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,148,SRP307447
SRR13760955,AMPLICON,412,17865981,PRJNA703303,SAMN18011809,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",7396972,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_11,human feces,SRX10147691,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,140,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,140,SRP307447
SRR13760956,AMPLICON,407,21962577,PRJNA703303,SAMN18011808,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",9237372,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_10,human feces,SRX10147690,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,136,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,136,SRP307447
SRR13760957,AMPLICON,413,19681998,PRJNA703303,SAMN18011807,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",8120641,ZHEJIANG UNIVERSITY,2020-02-15,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",human microbiome,Control_replicate_9,human feces,SRX10147689,China,Asia,China,Homo sapiens,Illumina MiSeq,not collected,133,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-02-15T00:00:00Z,133,SRP307447
